title,price,offer_price,year,distance,engine_type,fuel_type,horse_power,car_type,wheel_type,transmission,color,city,advert,link
Toyota Camry IV (XV20),160000,,1998,380000,2.2,Бензин,140,седан,полный,автомат,белый,Калуга,,https://auto.ru/cars/used/sale/toyota/camry/1095015688-cd2d1fd3/
Toyota Camry IV (XV20) Gracia,230000,,1999,630000,2.2,Бензин,140,универсал 5 дв.,передний,автомат,чёрный,Мытищи,,https://auto.ru/cars/used/sale/toyota/camry/1096766510-49287f97/
Toyota Camry IV (XV20) Gracia,200000,Хорошая цена,1999,200000,2.2,Бензин,140,седан,полный,автомат,белый,Калуга,,https://auto.ru/cars/used/sale/toyota/camry/1083628221-e695a11c/
Toyota Camry IV (XV20),160000,,1999,290000,2.2,Бензин,131,седан,передний,автомат,золотистый,Павловский Посад,,https://auto.ru/cars/used/sale/toyota/camry/1098142110-6784137a/
Toyota Camry IV (XV20),240000,,1999,380000,2.2,Бензин,131,седан,передний,автомат,синий,Щелково,,https://auto.ru/cars/used/sale/toyota/camry/1095614894-78af4cfb/
Toyota Camry IV (XV20),235000,Хорошая цена,2000,231000,2.2,Бензин,131,седан,передний,автомат,чёрный,Калуга,,https://auto.ru/cars/used/sale/toyota/camry/1098191638-bb602800/
Toyota Camry IV (XV20),255000,,2000,333000,2.2,Бензин,131,седан,передний,автомат,золотистый,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1079193652-bd35/
Toyota Camry IV (XV20) Gracia,280000,,2000,330000,2.2,Бензин,140,универсал 5 дв.,передний,автомат,белый,Владимир,,https://auto.ru/cars/used/sale/toyota/camry/1095862446-a4249f97/
Toyota Camry IV (XV20),250000,Хорошая цена,2000,150000,3.0,Бензин,190,седан,передний,автомат,синий,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1096060016-7a0b4f83/
Toyota Camry V (XV30),350000,,2001,460000,2.4,Бензин,152,седан,передний,механика,чёрный,Дмитров,,https://auto.ru/cars/used/sale/toyota/camry/1089661789-0a6d9e43/
Toyota Camry V (XV30),490000,,2001,191000,3.0,Бензин,186,седан,передний,автомат,белый,Серпухов,,https://auto.ru/cars/used/sale/toyota/camry/1096894146-ecb6586b/
Toyota Camry IV (XV20) Gracia,279000,,2001,240000,2.2,Бензин,140,седан,передний,автомат,серебристый,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1098610994-9d4e9139/
Toyota Camry V (XV30),345000,,2001,360000,2.4,Бензин,159,седан,передний,автомат,чёрный,Владимир,,https://auto.ru/cars/used/sale/toyota/camry/1098730272-7a73893e/
Toyota Camry V (XV30),335000,,2002,208000,2.4,Бензин,152,седан,передний,автомат,серебристый,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1099060570-c3c31fae/
Toyota Camry V (XV30),375000,,2002,230000,2.4,Бензин,152,седан,передний,автомат,серый,Москва,Автомир Хендэ Байкальская,https://auto.ru/cars/used/sale/toyota/camry/1098307366-57526668/
Toyota Camry V (XV30),470000,,2002,398500,3.0,Бензин,186,седан,передний,автомат,серый,Электросталь,,https://auto.ru/cars/used/sale/toyota/camry/1099050650-11be0947/
Toyota Camry V (XV30),400000,Хорошая цена,2002,200000,2.4,Бензин,152,седан,передний,автомат,красный,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1097873432-2f4303dc/
Toyota Camry V (XV30),460000,,2002,240000,2.4,Бензин,152,седан,передний,автомат,золотистый,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1096897092-71436006/
Toyota Camry V (XV30),400000,Хорошая цена,2002,187000,2.4,Бензин,152,седан,передний,автомат,синий,Рязань,,https://auto.ru/cars/used/sale/toyota/camry/1098072840-7d2ccf9b/
Toyota Camry V (XV30),395000,Хорошая цена,2002,285286,2.4,Бензин,152,седан,передний,автомат,коричневый,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1088217844-474e4b2a/
Toyota Camry V (XV30),450000,,2002,215000,2.4,Бензин,159,седан,передний,автомат,серый,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1097686698-d66fdd1d/
